HGNC:29012	MONDO:0032790
HGNC:29022	MONDO:0007779|MONDO:0007780|MONDO:0010850|MONDO:0013300
HGNC:29021	MONDO:0018998|MONDO:0015229|MONDO:0018921|MONDO:0017842|MONDO:0009480|MONDO:0012626|MONDO:0012433|MONDO:0012432|MONDO:0012723
HGNC:20662	MONDO:0012853
HGNC:20665	MONDO:0018054|MONDO:0013146
HGNC:20670	MONDO:0008853|MONDO:0008693|MONDO:0009203
HGNC:20672	MONDO:0010286
HGNC:29007	MONDO:0019181|MONDO:0010509
HGNC:29017	MONDO:0020848|MONDO:0012679
HGNC:29002	MONDO:0030898
HGNC:29035	MONDO:0019588|MONDO:0032740
HGNC:29043	MONDO:0010046|MONDO:0012561|MONDO:0019636
HGNC:29040	MONDO:0014201|MONDO:0018614
HGNC:20603	MONDO:0019200|MONDO:0044326|MONDO:0013468|MONDO:0018614
HGNC:20606	MONDO:0019200
HGNC:20611	MONDO:0018264
HGNC:29068	MONDO:0018772|MONDO:0014771
HGNC:29059	MONDO:0019181|MONDO:0010656|MONDO:0018347
HGNC:20626	MONDO:0018555|MONDO:0008965|MONDO:0011338|MONDO:0012880|MONDO:0018800
HGNC:20661	MONDO:0014775
HGNC:20652	MONDO:0018921
HGNC:29090	MONDO:0001347|MONDO:0008031|MONDO:0011323|MONDO:0016393
HGNC:29092	MONDO:0007477|MONDO:0013039
HGNC:29079	MONDO:0014751
HGNC:20609	MONDO:0054817
HGNC:29086	MONDO:0016660|MONDO:0013849
HGNC:29077	MONDO:0019200|MONDO:0018998|MONDO:0018770|MONDO:0009964|MONDO:0054708
HGNC:29136	MONDO:0060596
HGNC:29099	MONDO:0014848
HGNC:20788	MONDO:0007856
HGNC:29118	MONDO:0032871
HGNC:29110	MONDO:0010176
HGNC:29112	MONDO:0019502|MONDO:0032870
HGNC:29171	MONDO:0060550|MONDO:0019673
HGNC:29174	MONDO:0019502
HGNC:29170	MONDO:0005835|MONDO:0013898
HGNC:29187	MONDO:0033559
HGNC:29182	MONDO:0017842|MONDO:0013917
HGNC:29168	MONDO:0018921|MONDO:0008996|MONDO:0012694|MONDO:0012695|MONDO:0012308
HGNC:29160	MONDO:0030020|MONDO:0015632
HGNC:29162	MONDO:0032902|MONDO:0010176
HGNC:20730	MONDO:0018772|MONDO:0033308
HGNC:20731	MONDO:0014074
